Name,Group,1-Amino-2-propanol,Ethanolamine,Propylene glycol,Phenol,.alpha.-Monomyristin,1-Monopalmitin,Glyceryl Monostearate,2-Monopalmitin,Phytol,Alanine,Hexadecane,Tetracosane,Sinigrin,Glycine,L-3-Cyanoalanine,Sarcosine,L-Pyroglutamic Acid,Glycolate,Lactate,Lactic acid,Asparagine,D-Asparagine,L-Asparagine,3-Hydroxyaspartic Acid,Aspartate,Benzyl alcohol,beta-Alanine,3-Hydroxypropanoate,Malate,Malic acid,(+)-Catechin,beta-D-Fructose,(-)-Quebrachitol,D-2-Aminobutyric acid,D-Xylonolactone,Dehydroabietic acid,Lactitol,Maltitol,Palatinit,1-Dodecanol,1-Octanol,4-Aminobutanoate,Dehydroascorbate,Glutamate,Glycerophosphoric acid,Harmaline,6-Deoxyglucitol,D-Galactosamine,D-Galactose,Galactose+Glucose,L-Rhamnose,L-Histidine,Hydroxylamine,2-Hydroxypentanoic acid,2-Isopropylmalic acid,Citramalate,Guanine,L-Isoleucine,2-Amino-3-hydroxybutanoic acid,DL-Homoserine,L-Homoserine,L-Threonine,Threonine,Linoleate,Linoleic acid,9-octadecenoic acid,Heptadecanoic acid,Hexadecanoic acid,Icosanoic acid,Decanoic acid,Nonanoic acid,Octanoic acid,D-Mannonate,Hexonic acid,L-Methionine,Methionine,2-Methylsuccinic acid,Butylamine,Methylamine,Diglycerol,"1,6-Anhydro-beta-D-glucose",Erythrulose,L-Sorbinose,Psicose+Tagatose,Sorbose,44178 Mz116 With Formonetin Contamination Ions,Pyridin-4-olate,Phosphoric Acid,alpha-D-Galactosyl-(1->3)-1D-myo-inositol,Maltose,Melibiose,Sucrose,Cytidylyl-(3'-5')-Cytidylyl-(3'-5')-Adenosine,D-Ribose,L-Xylose,Phenylalanine,L-Proline,Adenosine,"2,5-Dihydroxypyrazine",2-Hydroxypyridine,UDP-glucuronate,Uracil,2-Deoxyerythritol,5-Deoxyribitol,Pantothenic Acid,L-Serine,2-Hydroxyglutaric acid,Oxalacetic acid+Pyruvate,beta-Sitosterol,Stigmasterol,3-Phosphoglycerate,D-Glyceric Acid,D-Threonate,D-Threonic Acid,Glyceric acid,L-Threonate,D-Arabitol,Erythrite,L-Iditol,Pentitol,Ribitol,Isocitric acid+Citric acid,Squalene,Urea,Docosenoic acid,"2,6-ditert.butylphenol nist","3,6,9-trioxa-2,10-disilaundecane, 2,2,10,10-tetramethyl-",azelaic acid,"disiloxane, 1,3-bis(chloromethyl)-1,1,3,3-tetramethyl-",phthalate ester
g5-4W,GW,491403.268,233591.0675,2091586.057,1330844.227,615310.5664,26031525.05,2769413.943,1777264.706,76520.41394,27724161.22,11517124.18,2608818.083,50698.08279,368690.9586,257656.3181,107260468.4,2049575.163,1877464.052,21599400.87,1710340.959,24214466.23,24206383.44,791400.4357,1575412.854,5632178.649,624787.037,89396.37255,822225.2723,187829085,912905.7734,88288.64924,13548703.7,783321.8954,64288.98693,765085.0763,33807.83224,298162.0915,1125406.318,289855.5556,807222.1133,2672779.956,1009823.856,341323.8562,328618.7364,252776.3617,96968431.37,3348498.911,1621782.135,1327620.915,4099054.466,815503.268,27376699.35,425928.1046,29255.62092,405151.8519,909525.1634,8560.279956,2334749.455,595917.6471,474077.9956,31590.65359,33508.31155,1046436.166,3565563.181,19243.19172,144073.4205,815088.5621,173246187.4,874213.3987,99595.44662,599674.0741,318355.2288,142520697.2,22090196.08,1548652.505,1734016.34,286614.7059,128370.0436,168504030.5,3405447.712,4226762.527,45322.29847,6513189.542,345667647.1,311480392.2,2839090.414,2084535.948,11774662.31,109335.6209,20114.38998,187858.9325,249194.7712,1214525.054,16121928.1,4828786.492,616951.4161,2283849.673,470792.4837,121736.0566,78833322.44,3871161.22,661087.4728,46698856.21,68160.77342,2332295.207,5024090.414,17182.8976,338565.1416,5652947.712,278561.8736,245443.0283,303735.4031,5671090.414,900369.281,803348.2571,776404.6841,16121928.1,3448742.919,16811971.68,5596459.695,3871161.22,3874635.076,43139.90196,1960947.712,53297.95207,75950588.24,314223.4205,150226.1438,68741263.62,13187516.34
g6-3W,GW,291777.4163,171389.1866,1119341.627,692030.7177,422103.445,21709205.74,2412991.388,1298956.938,62752.44019,19745569.38,1491036.364,1777194.258,32774.30622,328213.6842,69013.33971,95110306.22,766817.512,1301552.153,15592019.14,1458733.971,3139871.77,918984.689,133661.6268,266597.3206,1846806.699,337737.0335,60489.09091,886027.5598,157538660.3,664763.9234,75095.32057,7849906.22,453407.3684,34465.05263,437039.5215,22532.97608,176545.5502,592015.6938,97548.13397,197502.488,922385.8373,525338.5646,184785.1675,223551.4833,172910.5263,130513301.4,1399266.029,985286.1244,557888.8995,115391618.9,501414.3541,24705186.6,404443.6364,8664.554067,205091.3876,529094.7368,8615.74067,885013.4928,390955.2153,470997.3206,24832.88995,33522.27751,412551.0048,2901615.311,15712.16268,114949.2823,664600.0957,150413875.6,605559.6172,51974.36364,323967.5598,263624.2105,114399330.1,7007809.569,1305281.34,569373.7799,236264.3062,103581.9139,154534736.8,2197809.569,1758669.856,22641.91388,3839982.775,309813875.6,279878947.4,2410977.033,1894721.531,8975222.01,60202.86124,56885.4067,64943.30144,169000.6699,591284.4976,11836583.73,2045521.531,231803.445,687343.9234,254880.3828,126504.5933,72813291.87,983822.9665,698098.8517,37820009.57,7865.025837,2394091.866,2344017.225,13929.68421,162115.0239,5420997.129,233581.8182,131384.7847,324363.5407,3580737.799,729832.6316,365112.3445,704926.5072,11836583.73,2197083.254,16874401.91,3264420.096,978214.3541,1301809.569,37950.31579,1640224.88,38913.8756,61178717.7,278982.488,111645.3589,59434775.12,6896715.789
r1-7L,RL,605132.9457,143807.655,978754.845,868612.5,576442.4419,29085968.99,3199716.085,1722988.372,171822.5775,10765096.9,1951242.248,2209804.264,25878.35271,323933.0426,232924.3217,97981395.35,1231778.101,1368495.155,20390968.99,1664578.488,32230949.61,1516265.504,859183.0426,2200750,7000991.279,240574.6124,113570.8333,880615.5039,134468798.4,792577.6163,788640.3101,8301955.426,794889.3411,73048.98256,817659.3023,26163.75,257626.3566,1382658.915,1388269.38,370871.8023,1063545.543,1523232.558,192361.1434,683035.0775,210131.4922,138577422.5,1733162.791,886978.4884,2009709.302,126760271.3,20247480.62,24000717.05,434747.6744,359086.4341,182949.031,361224.5155,9870.116279,2334045.543,545066.7636,617198.5465,16526.93798,29326.50194,820271.8992,2587866.279,15765.30039,144529.3605,783410.6589,156291279.1,754881.686,68032.80039,528121.0271,298334.8837,125344282.9,25289195.74,1347192.829,339744.3798,239366.9574,106142.4419,157546899.2,4381636.628,2486479.651,79640.42636,3978823.643,307221124,278785949.6,2425650.194,1949490.31,10565067.83,201126.4535,71855.36822,554039.6318,190314.8256,788246.8992,5523427.326,133202907,403120.2519,1817695.736,233622.093,125065.1163,74635939.92,1882991.279,505378.3915,37889970.93,44799.06977,6544677.326,3438784.884,23650.88178,142303.4884,7083628.876,254753.9729,142952.907,79101.68605,2950795.543,475271.8992,416056.2984,449644.8643,5523427.326,2543486.434,16066085.27,4363973.837,1883524.225,2535383.721,47785.73643,1756863.372,60013.4593,63562267.44,285070.2519,287868.7984,60776482.56,10852228.68
r2-7L,RL,353663.9234,122147.0813,664790.622,628697.0335,652358.2775,24736794.26,2256591.388,1685665.072,82385.38756,5461277.512,1335369.378,3157013.397,21476.09569,323861.0526,121040.7656,95881339.71,1028901.435,1221508.134,15518937.8,1470641.148,11551751.2,819958.0861,371541.9139,1055479.426,10742775.12,144548.3254,91509.71292,838634.9282,183562512.8,710353.8756,31434.55502,5147055.502,443013.2057,36171.7799,167493.6842,24907.21531,138270.622,486370.2392,995254.5455,220929.1866,399190.4306,1560979.904,151032.2488,1112886.124,161724.3062,137492248.8,1773205.742,599796.8421,985272.7273,104022966.5,12173454.55,25157626.79,349491.4833,200896.2679,167924.689,297333.5885,21420.03828,1040130.144,355864.0191,289538.4689,7606.362679,29585.59809,403447.177,2955962.679,15756.73684,120019.7129,772514.6411,157431674.6,892116.0766,61389.7799,296946.2201,259184.4976,132150526.3,16915023.92,1337837.321,185227.7512,183535.2153,94858.40191,149419330.1,2916246.89,1639084.211,22821.67464,2529845.933,307767655.5,278077799,1965970.335,1738856.459,8824511.962,197776.8421,61802.49761,235915.9809,175601.6268,502805.1675,4530180.861,1661033.493,201343.5407,1080449.761,73210.58373,131674.9282,68378478.47,1836904.306,491386.0287,32034535.89,28341.32057,8819029.665,1739888.038,23736.84211,94606.82297,6222292.823,287509.5694,99759.52153,493201.8182,2508889.952,794126.2201,389964.0191,729256.3636,6192078.284,2116645.933,17455521.53,2845522.488,1837890.909,1929086.124,22414.07656,1637370.335,58360.41148,59012478.47,250649.8565,121898.1818,60051167.46,7848831.579
r3-2L,RL,602174.7843,130342.0901,982060.4027,844928.8591,488110.2589,19488628.95,2294872.483,1386588.686,26570.92042,11922799.62,6454511.026,2689012.464,26309.67402,273005.9444,13548.22627,92933106.42,2360620.326,1289132.311,15067526.37,1384434.324,25841744.97,1508429.53,747373.1544,1979405.561,15814170.66,275903.4516,166571.3327,837503.931,182621476.5,519426.4621,934318.2167,11631802.49,1006846.596,54325.3116,60207.7373,35945.17737,199596.3567,1291650.048,167805.8485,545996.9319,1064054.65,2968895.494,134505.5609,1368721.956,201502.9722,135145541.7,2194174.497,1316572.387,4805475.551,128551773.7,875346.9799,23347881.11,197824.257,478392.6174,171206.1361,518367.7852,7626.770853,3339728.667,574683.5091,574640.3643,11622.61745,29570.14382,772466.3471,2254693.193,13537.16203,100118.1208,703221.7641,152071812.1,1125154.362,68654.41994,363227.8044,236545.8293,118713710.5,23330613.61,1222989.453,734274.5925,172195.3979,97218.79195,155896452.5,3842339.406,2098799.616,59110.05753,4819376.798,307266347.1,273925886.9,1712956.855,2383789.07,9709290.508,88541.70662,65600.88207,226472.5791,188425.6951,772343.5283,9734324.065,130529146.7,445658.1016,1921350.911,45483.3557,103296.069,78904717.16,1678162.991,433264.1419,35437842.76,19046.97028,7227218.6,3809129.434,26327.1908,76883.98849,5062311.601,220535.7622,92370.51774,498576.3183,3076893.576,908491.0834,581648.8015,468629.6261,9734324.065,3144017.258,15049501.44,4378729.626,1670872.483,3121930.01,20871.94631,1763114.094,52617.98658,35607516.78,265536.8169,106366.6347,60668235.86,8582603.068
r4-7L,RL,801732.2547,278292.6931,843557.2025,1103271.399,315380.167,19009770.35,3534560.543,1663218.163,30455.66806,9497242.171,1257121.086,2251965.553,22842.55741,623272.8601,149671.9207,121010229.6,2393075.157,1247094.99,23641430.06,2305383.09,29457087.68,1429009.395,1263604.384,499117.119,12599686.85,496800.6263,162963.6743,928624.8434,184503549.1,648398.3299,452962.1086,7420851.775,798787.8914,76899.34238,69455.04175,33808.92484,246558.977,1812442.589,911463.7787,277831.6284,1081500,2365667.015,358515.3445,1358826.722,198049.4781,142276200.4,1595840.292,1131707.724,138536.952,122514405,13123006.26,30242640.92,1468551.148,595171.9207,154462.6305,475136.3257,13714.35282,2952013.57,707014.5094,297176.4092,12743.98747,23877.23382,832171.3987,2575998.956,10322.88309,312753.7578,536127.6618,155851670.1,895767.0146,65261.48225,499431.2109,568332.881,141428914.4,70611.95198,1327118.998,453565.2401,962062.2129,146708.142,166895824.6,3061579.332,1398962.422,58623.49687,3544461.378,364988935.3,377515970.8,3704389.353,3846193.111,13778830.9,151350.5219,468197.3904,928547.4948,141169.833,542221.0856,7106384.134,5509442.589,339485.0731,1483429.019,68143.31942,161445.8246,128726200.4,1042803.862,842487.6827,43187672.23,27594.26931,1023116.284,4497067.85,21748.88309,194391.3361,3812081.42,208874.0084,103238.6013,744945.3027,2725434.238,893180.5846,460987.4739,381334.4468,7173964.509,2580048.017,18688350.73,3038118.998,1042803.862,1145737.996,33266.79541,3598956.159,82979.00835,36932212.94,525051.9833,118294.4676,35758768.27,5276042.797
r5-6L,RL,895385.5032,139617.7285,1044284.395,1038901.2,438031.5789,23747248.38,3079864.266,1608808.864,22464.5337,8001715.605,1563065.559,1874170.822,20705.88181,239587.8116,386414.1274,93555863.34,4488876.27,1957419.206,34631320.41,1837879.04,24934570.64,838844.506,824663.2502,1688745.152,7138309.326,816640.7202,290094.4598,966285.3186,141639335.2,792608.3102,76240.55402,6412345.337,608469.8061,79225.69714,300349.5845,473149.9538,233480.7018,918460.5725,545164.2659,588804.0628,944298.2456,2902170.822,127085.4109,1126345.337,1548437.673,97127700.83,1029211.45,723607.8486,1937430.286,110797229.9,11499215.14,25033887.35,398861.4035,381616.5282,173469.3444,562834.8107,24124.40443,2306745.152,386474.8846,634208.8643,18271.67128,32133.3241,765059.4645,3351847.645,18979.87073,499756.5097,814082.3638,158696214.2,819864.9123,183043.4903,1137203.139,293093.8135,119479593.7,16692520.78,1237831.948,376777.193,222077.193,103522.53,141029916.9,3631688.827,1391204.986,42051.80055,2963060.942,292508587.3,264544229,1923500.462,1719035.088,11426574.33,139931.6713,724598.2456,207426.1311,94268.97507,481308.2179,5210192.059,2845457.987,429372.2068,2646500.462,190177.3777,119894.6445,66411468.14,1432383.195,528625.5771,103588550.3,26488.54109,101809603,2763273.315,31341.99446,84514.21976,9380193.906,330603.7858,1065566.944,241749.2151,2992521.699,825521.7913,518061.2188,568913.0194,5210192.059,1961428.44,16268605.72,3017108.033,1421419.206,1506425.669,105191.9668,5600633.426,60108.05171,63509002.77,1423214.22,111024.0074,55898273.31,11022151.43
r6-6L,RL,1287303.119,174871.7349,2135725.146,1648653.996,491518.3236,24441686.16,3256541.91,1535617.934,617542.7875,20400701.75,2302004.873,1960287.524,43658.58674,229673.1969,575586.0624,99031091.62,3388824.561,1154352.827,17817972.71,1563085.77,79284269.01,1220352.827,2792799.22,5234714.425,9155079.922,435464.9123,556578.8499,792373.0019,55844142.3,1170983.431,52672.50487,11024210.53,1475166.667,140630.8967,3006292.398,31799.23977,346989.8635,1381164.717,2231065.302,622255.0682,2703369.396,7009030.214,405007.4074,1405323.587,1631213.45,98512670.57,2742898.635,1468216.374,1565446.394,124197660.8,30164249.51,23584064.33,376317.0565,767338.3041,521989.0838,339775.4386,30936.52047,3105477.583,228769.7856,333113.1579,62369.34698,31983.71345,1494473.684,3330820.663,21564.15205,118922.0273,713722.0273,151523196.9,789454.7758,104219.883,638482.2612,280842.9825,121455555.6,26603050.68,1620126.706,1126316.764,350776.1209,113578.3626,147740155.9,7493105.263,5812174.464,156681.8713,6077326.511,302791130.6,272874463.9,3366849.903,1905345.029,24784795.32,522374.5614,596410.2339,873825.8285,318267.154,877641.9103,11598489.28,4669766.082,603650.7797,3752599.415,185981.0916,143047.271,70767982.46,2415207.602,649931.1891,47662261.21,80369.37622,10157826.51,9128003.899,11860.91618,108149.4152,9721331.384,256345.9064,1161864.522,70543.44055,4176908.382,344513.9376,679057.3099,207352.4366,11598489.28,2913537.037,14386530.21,5823527.29,2415207.602,5182444.444,48279.95127,1948077.973,64819.34698,66723304.09,292544.347,130664.0351,58339551.66,8992079.922
r1-7W,RW,873862.963,184603.5979,2526670.899,1447510.053,607945.291,34099111.11,6355952.381,2293778.836,97925.87302,9936710.053,2085874.074,2185306.878,58388.42328,273671.4286,172608.9947,106027830.7,4834246.561,2463780.952,38443978.84,2214606.349,34312835.98,1697822.222,972583.4921,1597050.794,33596984.13,1026600.317,182279.7884,1120131.217,228546031.7,1498482.54,1151176.72,10178625.4,503693.6508,389381.164,665543.4921,400890.0529,499940.6349,2412888.889,1132165.079,780162.5397,2060324.868,3145321.693,288081.2698,3924629.63,408470.8995,148468677.2,2616761.905,1938410.582,1464549.206,139177883.6,19814888.89,27784158.73,434624.4444,1131050.794,378842.0106,8455382.011,64734.15873,3669851.852,2865965.079,948148.5714,22652.8254,1127264.55,1127367.196,1728949.206,14839.18519,165836.2963,1466365.079,174382963,927514.0741,192224.4444,1284053.968,394312.9101,131012063.5,22445947.09,1819464.55,825550.4762,1202178.836,108575.9788,163729629.6,6433503.704,2844632.804,50114.5291,6358571.429,316384761.9,278913545,4031488.889,2136469.841,28363333.33,306114.1799,15118.5291,491551.2169,534513.545,1377560.847,13883481.48,5234702.646,385082.7513,1532733.333,454244.9735,164833.0159,76240719.58,3434682.54,720415.4497,95455830.69,92568.63492,5564790.476,5500355.556,69653.59788,194309.1005,6349394.709,269546.1376,351939.1534,317837.1429,9689772.487,2081038.095,639086.8783,3434694.18,13883481.48,6329408.466,15074582.01,8415089.947,3452410.582,10155800,104413.3757,7161235.979,104463.2275,90809555.56,1291830.688,175854.4974,61668719.58,8096343.915
r2-7W,RW,380888.5628,120096.4575,877221.4575,820655.668,412917.3077,23381427.13,3049235.83,1419782.389,16623.28947,4242652.834,357653.0364,1689483.806,16292.22672,188052.6316,116772.5709,98248714.57,1197065.789,1146977.733,17634807.69,1311114.372,10454493.93,1138019.231,427719.4332,939843.0162,7284414.98,567231.0729,54859.65587,216934.7166,172949595.1,872475.8097,28624.77733,5647664.98,440892.6113,34168.48178,43023.54251,21949.81781,136623.9879,799047.9757,418054.5547,406161.2348,1038481.781,949415.8907,65741.48785,867773.9879,174256.4777,144063360.3,1824948.381,674509.8178,962307.996,113860121.5,462562.753,28403734.82,343856.2753,500676.0121,245282.8947,400090.7895,66930.4251,609784.5142,365581.6802,311714.4737,8496.808704,21399.27126,419680.5668,1811529.352,12292.32794,98660.62753,715362.247,159598481.8,611857.3887,75449.03846,488458.7045,236230.3644,123507894.7,12871032.39,1596533.401,198025.8097,207613.7652,88343.57287,143067408.9,2279772.267,1180165.992,20080.76923,2770456.478,324060526.3,290015182.2,1978315.789,1660781.377,12603056.68,143893.5223,66984.69636,175930.5668,164553.1377,8847.044534,4817054.656,1638431.174,212358.4008,61305.02024,130892.5101,120056.5789,66401973.68,1103147.773,541674.3927,33511285.43,30749.92915,5537344.13,1457302.632,19733.13765,109621.1538,5862841.093,250991.498,100926.4069,426675.2024,564295.9514,836521.0526,549752.834,740834.7166,4817054.656,2227921.053,21585860.32,2670233.806,1098731.781,1019159.919,82411.47773,1491712.551,37383.87652,65991771.26,249785.4251,79560.05061,61731376.52,8009036.437
r3-2W,RW,786326.3726,140066.6067,1688234.923,867167.2367,306640.9541,15279198.92,3300776.778,1323379.838,19159.28893,9223879.388,1630054.905,1360214.221,26630.22502,180447.0747,193211.7012,92432943.29,2922776.778,816774.5275,9761017.102,1399410.441,34532844.28,1473158.416,1074997.3,1717527.453,22432079.21,779740.8641,184304.0504,771418.6319,166416561.7,595120.432,1527159.316,5713004.5,766170.477,64863.48335,180066.7867,23018.86589,388831.9532,2286108.911,150019.3519,459042.8443,1899592.259,1951789.379,27754.9685,2184814.581,193463.3663,124159405.9,1178370.837,1449493.249,608544.6445,118043114.3,11985931.59,26204590.46,415937.6238,853028.6229,425254.2754,697127.0927,29181.10711,3798055.806,1032471.647,286372.0972,12956.53465,29016.25563,1635471.647,199677.4977,10882.06121,72844.50945,536249.3249,133667866.8,705521.5122,74114.30243,431659.3159,247493.1593,112591089.1,19803456.35,1322843.384,981135.0135,357493.6994,93702.9703,123226372.6,3350410.441,1662128.713,46438.88389,29128.27183,264932943.3,245140234,1672133.213,1695556.256,18239540.95,290360.9361,27293.54635,852221.5122,325398.9199,752967.1467,9371143.114,5399493.249,346325.1125,1085639.964,117017.0117,121855.2655,59578361.84,1802813.681,548579.748,36545274.53,49660.55806,674846.3546,6209996.4,21748.75788,83543.15032,4485665.167,170475.1575,201513.7714,477783.4383,3892598.56,1053591.359,470633.9334,856681.9082,9371143.114,3652938.794,13573096.31,4002486.049,1796590.459,1841221.422,37121.9802,1728118.812,67458.35284,33221566.16,285949.3249,86842.41224,50809927.99,4327513.051
r4-7W,RW,452122.5338,137016.1509,1200571.567,836888.3946,364079.7872,16311489.36,673139.8453,1126231.141,23874.08124,10467553.19,1673008.704,1575279.497,30629.0619,216607.3501,121061.7988,97802127.66,3129209.865,947228.9168,18153878.14,1544470.986,27359477.76,1394047.389,988918.7621,1929839.458,8289734.043,709215.087,118030.3675,696518.0851,194621179.9,650383.559,608822.824,9756566.731,791825.4352,70554.52611,67746.32495,23795.14507,156440.619,1050017.408,253253.7718,434642.0696,1122937.137,2016676.983,117207.4468,1952315.28,219215.764,132426595.7,1542997.099,1282712.766,1113588.975,125127853,8969478.723,23973355.9,433296.7118,597001.5474,171484.0426,727304.2553,31610.56093,2318856.867,1125853.965,310318.1818,11294.39072,28762.23404,1285707.93,1848527.079,14990.33849,92875.91876,649783.6557,149441392.6,629235.5899,64866.97292,387854.7389,240480.1741,116585783.4,18914400.39,1405044.487,1000333.656,251296.6151,104213.5397,153715377.2,3078407.157,1959190.522,26205.02901,4727883.946,309149129.6,281036170.2,3043347.195,1891127.66,16189003.87,154038.1044,43850.19342,258727.4662,294639.4584,597893.3269,9314018.375,4970814.313,373136.2669,825151.2573,127986.2669,126270.8897,71400125.73,1256555.126,531009.5745,34088607.35,44008.23985,7827425.532,4016940.039,25588.58801,66143.3559,6438051.257,194772.0503,146193.7137,66985.4352,581667.4081,1269677.95,605355.5126,684511.0251,9375204.062,3315970.019,15864284.33,3802966.151,1248293.037,1978605.416,30769.16828,1676058.994,29868.67505,39721740.81,289755.4159,84668.05609,59766856.87,9386287.234
r5-6W,RW,589744.9838,151688.4574,2133673.139,1387568.501,495291.5858,25271553.4,3371180.151,1565434.736,32762.06041,6395154.261,2151789.644,2057686.084,43817.21683,223342.5027,93739.12621,106520830.6,2106878.101,1464537.217,24622891.05,1823418.554,9672618.123,9657864.078,345410.2481,550508.5221,13600183.39,1392509.169,112011.7584,878122.3301,218011003.2,1285675.297,220304.8544,12524142.39,972828.479,80753.48436,98002.51348,244447.6807,275283.0636,2066084.142,765544.6602,610707.2276,2093683.927,2525658.037,563797.3031,2087938.511,861322.3301,152030960.1,2319982.74,1756956.85,2277647.249,151709385.1,14405717.37,28388910.46,484434.0885,818217.26,459520.9277,1458827.4,20977.50809,1952689.32,1187647.249,479092.0173,9165.648328,37144.13161,705841.3161,2036750.809,14800.26969,100959.6656,757014.5631,168524811.2,729706.041,95313.77562,667100.2157,292214.8867,133315318.2,28303300.97,1946283.711,1623515.642,413835.1672,124699.3528,159997950.4,4857655.879,3134233.01,65646.1165,6629464.941,338780043.1,304877562,3125554.477,2008011.866,18452524.27,301305.3937,104613.7109,309806.5804,388365.2643,996291.9094,8945771.305,2928719.525,279468.1769,977525.2427,346722.7616,158483.8188,75931262.14,2393279.396,631877.9935,44243430.42,71796.33225,9465898.598,2535032.362,37073.95901,151429.0183,4777721.683,261021.6828,538748.7594,79365.90076,5159652.643,1404991.37,627370.4423,1365368.932,8989100.324,5196775.62,16622459.55,5930707.659,2402583.603,2757334.412,36058.16613,1995608.414,74157.93959,71063754.05,328489.8598,108565.6958,65610420.71,10158239.48
r6-6W,RW,364269.8462,125425.7436,647409.7436,693117.9487,418512.6154,19706297.44,3752604.103,1620998.974,26938.92308,4822909.744,1740427.692,1510083.077,11785.48718,241488.8205,101677.5179,98148215.38,1474082.051,335200.5128,13059015.38,1368182.564,10380615.38,1081400,425284.3077,826496.5128,3992197.949,629044.5128,94914.24615,630534.0513,100647446.2,711004,58223.50769,6975222.564,465058.1538,33419.7641,243694.0513,30084.44103,208983.6923,1565178.462,603646.5641,419178.8718,614663.6923,1469056.41,55397.90769,758951.5897,572559.5897,141907179.5,1631791.795,953852.1026,1590609.231,127526564.1,6733416.41,27440687.18,403291.0769,241919.8974,188076,304177.9487,15872.43077,876570.359,275905.5385,327724.3077,8219.186667,26663.81538,417524.4103,1191396.923,15630.53333,66190.75897,460686.8718,143793128.2,618524.2051,64475.97949,365416.2051,275881.8462,124779897.4,19300943.59,1249147.692,150492.4103,323805.9487,98767.27179,140903179.5,2756428.718,1599442.051,40222.05128,3487955.897,315525230.8,291404717.9,2078251.282,1656254.359,11086102.56,82631.34359,142156.9231,613016.2051,162728.1026,511960.3077,5149433.846,1989271.795,182847.1795,786317.3333,164300,114809.4359,64732133.33,962681.7436,502318.5641,36037138.46,14770.66667,7307150.769,1546343.59,12393.95897,90114.37949,5350003.077,223862.6667,327503.0769,64305.98974,1590803.077,410538.7692,893377.7436,325487.6923,5149433.846,1694991.795,21850892.31,2828322.051,957840.6154,1277139.487,55446.02051,1502674.872,49723.67179,55297415.38,258313.9487,84204.47179,58514400,8984686.154
